file,error_type,field_or_value,count
harp_d_n_l1_32a,undefined_token,__order_index,2
staff_d_n_l0_q_45a,undefined_token,__order_index,2
npc_book_idshulak_02a,undefined_token,__order_index,2
mace_n_u1_pet_35a,undefined_token,__order_index,2
mace_n_c2_a_24a,undefined_token,__order_index,2
bow_n_r1_45b,undefined_token,__order_index,2
sword_d_n_u1_nc_46a,undefined_token,__order_index,2
npc_orb_IDTransform_01,undefined_token,__order_index,2
harp_n_m3_ideternity02_4set_80a,undefined_token,__order_index,2
mace_n_c2_a_24b,undefined_token,__order_index,2
npc_bow_vritrawhite_01,undefined_token,__order_index,2
staff_a_l2_45a,undefined_token,__order_index,2
mace_n_c2_a_24c,undefined_token,__order_index,2
world_changeskin_gun_china_02a_1days,undefined_token,__order_index,2
event_bow_d_a_e2_65c_01,undefined_token,__order_index,2
staff_d_n_l2_p_40a,undefined_token,__order_index,2
sword_d_n_u1_nc_46c,undefined_token,__order_index,2
world_cash_staff_lovelyhero_changeskin_01a_7days,undefined_token,__order_index,2
polearm_d_n_r2_53a,undefined_token,__order_index,2
dagger_l_n_m3_toplevel_77a,undefined_token,__order_index,2
dagger_n_r2_p_40a,undefined_token,__order_index,2
world_staff_d_a_m2_65a,undefined_token,__order_index,2
harp_n_r2_a_27a,undefined_token,__order_index,2
sword_n_l1_nc_36a,undefined_token,__order_index,2
orb_d_n_r2_p_45a,undefined_token,__order_index,2
npc_cannon_n_m_w04a_65a,undefined_token,__order_index,2
sword_n_m3_p_80a,undefined_token,__order_index,2
book_n_m2_ideternity01_base_75a,undefined_token,__order_index,2
world_cash_changeskin_book_n_l1_a_25a,undefined_token,__order_index,2
test_2hsword_n_u1_58a,undefined_token,__order_index,2
item_idarena_skill_02,undefined_token,status_fx_slot_lv,3
test_orb_18a,undefined_token,__order_index,2
bow_n_e1_50a,undefined_token,__order_index,2
item_idarena_skill_03,undefined_token,status_fx_slot_lv,3
gun_n_e_idruneweapon_rep01,undefined_token,__order_index,2
test_staff_ch_45a,undefined_token,__order_index,2
staff_d_n_l1_q_45a,undefined_token,__order_index,2
polearm_n_l1_58a,undefined_token,__order_index,2
sword_d_n_l1_52a,undefined_token,__order_index,2
event_harp_n_m3_ideternity02_new_75a,undefined_token,__order_index,2
harp_d_n_r1_nc_26a,undefined_token,__order_index,2
harp_d_n_r1_p_50a,undefined_token,__order_index,2
polearm_n_l1_58b,undefined_token,__order_index,2
npc_sword_lf5_armor_01,undefined_token,__order_index,2
gun_d_polymorph_01a,undefined_token,__order_index,2
orb_a_m_el_70a,undefined_token,__order_index,2
event_bow_ldf5_nmd_changeskin_01a,undefined_token,__order_index,2
polearm_n_r2_c_50a,undefined_token,__order_index,2
test_orb_coin_01,undefined_token,__order_index,2
npc_gun_hd02b_75a,undefined_token,__order_index,2
polearm_n_e_idunderrune_65a,undefined_token,__order_index,2
harp_d_n_m3_toplevel_77a,undefined_token,__order_index,2
orb_a_m2_65a,undefined_token,__order_index,2
cannon_d_n_l1_p_30a,undefined_token,__order_index,2
gun_n_l1_35a,undefined_token,__order_index,2
gun_d_n_r1_p_20a,undefined_token,__order_index,2
staff_d_a_r2_45a,undefined_token,__order_index,2
gun_n_l1_35b,undefined_token,__order_index,2
orb_a_m2_65d,undefined_token,__order_index,2
orb_n_u1_el_60a,undefined_token,__order_index,2
keyblade_n_c_33a,undefined_token,__order_index,2
gun_n_l1_35c,undefined_token,__order_index,2
staff_UP_Long_E_p_65a,undefined_token,__order_index,2
M_Shot_A005_1_1,undefined_token,is_familiar_skill,3
dagger_n_e_idruneweapon_as,undefined_token,__order_index,2
world_cash_mace_pirate_changeskin_01a_30days,undefined_token,__order_index,2
npc_staff_hd02b_75a,undefined_token,__order_index,2
orb_n_l1_50b,undefined_token,__order_index,2
bow_n_m2_idruneweapon_ra_a,undefined_token,__order_index,2
book_n_l1_nc_46a,undefined_token,__order_index,2
orb_n_u2_s_50a,undefined_token,__order_index,2
gun_n_u_ldf4_ad_65a,undefined_token,__order_index,2
bow_n_m2_idruneweapon_ra_b,undefined_token,__order_index,2
2hsword_d_n_c2_32a,undefined_token,__order_index,2
event_orb_d_a_e2_55a,undefined_token,__order_index,2
harp_d_r2_p_55a,undefined_token,__order_index,2
sword_n_r1_45b_test1,undefined_token,__order_index,2
2hsword_d_n_c2_32b,undefined_token,__order_index,2
sword_n_r1_45b_test2,undefined_token,__order_index,2
2hsword_d_n_c2_32c,undefined_token,__order_index,2
book_d_n_l1_q_57a,undefined_token,__order_index,2
harp_n_c1_10a,undefined_token,__order_index,2
book_d_n_c_10a,undefined_token,__order_index,2
orb_n_m2_starweapon3_71a,undefined_token,__order_index,2
mace_n_l1_p_58a,undefined_token,__order_index,2
npc_sword_n_m_starweapon4_65a,undefined_token,__order_index,2
harp_d_n_u2_p_55a,undefined_token,__order_index,2
gun_n_m_ab1_high_71a,undefined_token,__order_index,2
sword_n_m_ac_70a,undefined_token,__order_index,2
mace_n_e3_iddramata_sp_ch_55b,undefined_token,__order_index,2
sword_n_m_ac_70b,undefined_token,__order_index,2
npc_LycanAncientSword02_PD,undefined_token,__order_index,2
sword_d_n_l1_p_40a,undefined_token,__order_index,2
world_promo_keyblade_GF_changeskin_01a_15days,undefined_token,__order_index,2
world_cash_keyblade_lovelyhero_changeskin_01a,undefined_token,__order_index,2
book_d_n_u2_40a,undefined_token,__order_index,2
orb_n_r1_a_57a,undefined_token,__order_index,2
book_sp_n_r2_p_55a,undefined_token,__order_index,2
orb_n_r1_a_57b,undefined_token,__order_index,2
sword_n_e3_iddramata_sp_kn_55a,undefined_token,__order_index,2
sword_n_r1_49a,undefined_token,__order_index,2
orb_n_r1_a_57c,undefined_token,__order_index,2
dagger_idlc1_sp_lv2_e_55a,undefined_token,__order_index,2
cannon_n_u1_q_53a,undefined_token,__order_index,2
cannon_d_n_e1_p_55a,undefined_token,__order_index,2
sword_n_r1_49b,undefined_token,__order_index,2
dagger_n_c2_p_25a,undefined_token,__order_index,2
sword_n_r1_49c,undefined_token,__order_index,2
keyblade_n_l2_s_47a,undefined_token,__order_index,2
npc_sword_lycanwarrior_01,undefined_token,__order_index,2
world_cash_GM_Polearm_Punishment__chs_02a,undefined_token,__order_index,2
orb_d_n_r1_nc_36a,undefined_token,__order_index,2
mace_a_u2_65a,undefined_token,__order_index,2
mace_d_n_r2_p_40a,undefined_token,__order_index,2
world_cash_sword_ranger_01,undefined_token,__order_index,2
sword_d_n_l0_q_45a,undefined_token,__order_index,2
orb_t_n_u1_40a_3day,undefined_token,__order_index,2
sword_sp_n_l1_p_55a,undefined_token,__order_index,2
testpick,undefined_token,__order_index,2
mace_a_r2_40a,undefined_token,__order_index,2
gun_n_e_74a,undefined_token,__order_index,2
dagger_n_l1_29a,undefined_token,__order_index,2
orb_n_l1_n_64a,undefined_token,__order_index,2
npc_mace_w07a_01a,undefined_token,__order_index,2
staff_d_n_m3_toplevel_78a,undefined_token,__order_index,2
2hsword_n_u1_44a,undefined_token,__order_index,2
dagger_a_r2_50a,undefined_token,__order_index,2
world_event_sword_n_c1_18a,undefined_token,__order_index,2
2hsword_d_n_r0_c_46a,undefined_token,__order_index,2
dagger_d_n_r2_s_17a,undefined_token,__order_index,2
keyblade_n_l1_r_40a,undefined_token,__order_index,2
2hsword_n_u1_44b,undefined_token,__order_index,2
world_event_orb_changeskin_01b_1,undefined_token,__order_index,2
event_dagger_d_a_e2_55a,undefined_token,__order_index,2
dagger_u_idlf1_master_50a,undefined_token,__order_index,2
dagger_d_n_l1_h_50a,undefined_token,__order_index,2
keyblade_n_l1_r_40b,undefined_token,__order_index,2
cannon_n_l1_45a,undefined_token,__order_index,2
test_gun_n_u1_62a,undefined_token,__order_index,2
staff_d_n_l1_p_40a,undefined_token,__order_index,2
event_2hsword_d_a_e2_55a,undefined_token,__order_index,2
2hsword_n_m_tdefence_65a,undefined_token,__order_index,2
book_d_n_l1_nc_31a,undefined_token,__order_index,2
dagger_d_n_l1_h_50b,undefined_token,__order_index,2
keyblade_n_l1_r_40c,undefined_token,__order_index,2
harp_d_a_l2_55a,undefined_token,__order_index,2
cannon_n_l1_45b,undefined_token,__order_index,2
sword_e_cc_61a,undefined_token,__order_index,2
cannon_n_l1_45c,undefined_token,__order_index,2
mace_n_m3_ideternity02_4set_80a,undefined_token,__order_index,2
dagger_n_m_grow_up_last_72a,undefined_token,__order_index,2
dagger_n_r1_p_40a,undefined_token,__order_index,2
gun_a_u2_35a,undefined_token,__order_index,2
2hsword_d_n_l1_nc_31a,undefined_token,__order_index,2
sword_d_c_n_c_01a,undefined_token,__order_index,2
sword_n_e1_55b,undefined_token,__order_index,2
world_cash_book_gold_changeskin_01a_binding,undefined_token,__order_index,2
harp_n_r1_a_27a,undefined_token,__order_index,2
sword_n_e1_55c,undefined_token,__order_index,2
orb_d_n_r1_p_45a,undefined_token,__order_index,2
harp_n_r1_a_27b,undefined_token,__order_index,2
sword_n_e1_55d,undefined_token,__order_index,2
orb_a_u2_50a,undefined_token,__order_index,2
npc_mace_d_brothers_01,undefined_token,__order_index,2
mace_d_n_r1_49a,undefined_token,__order_index,2
harp_n_r1_a_27c,undefined_token,__order_index,2
sword_n_e1_55e,undefined_token,__order_index,2
orb_a_u2_50b,undefined_token,__order_index,2
mace_d_n_r1_49b,undefined_token,__order_index,2
test_sword_n_e1_56a,undefined_token,__order_index,2
sword_n_e1_55f,undefined_token,__order_index,2
mace_d_n_r1_49c,undefined_token,__order_index,2
sword_a_m_kn_70a,undefined_token,__order_index,2
book_d_n_r2_s_27a,undefined_token,__order_index,2
polearm_idlc1_sp_lv0_u_55a,undefined_token,__order_index,2
npc_sword_n_m_w04a_65a,undefined_token,__order_index,2
npc_mace_p04a_01a,undefined_token,__order_index,2
npc_mace_p04a_01b,undefined_token,__order_index,2
harp_n_r2_p_50a,undefined_token,__order_index,2
cannon_n_l1_45r,undefined_token,__order_index,2
gun_n_r2_40a,undefined_token,__order_index,2
sword_n_m_idvritrabase_65a,undefined_token,__order_index,2
world_event_orb_d_n_u1_35b,undefined_token,__order_index,2
bow_d_a_r2_35a,undefined_token,__order_index,2
sword_n_r1_a_47a,undefined_token,__order_index,2
mace_n_c_28a,undefined_token,__order_index,2
polearm_n_m_lv2_typed_77b,undefined_token,__order_index,2
sword_n_r1_a_47b,undefined_token,__order_index,2
h_abyss_npc_gd2003,undefined_token,erect,3
mace_d_n_c2_p_25a,undefined_token,__order_index,2
bow_d_n_r2_s_47a,undefined_token,__order_index,2
ratmanthrowingspear,undefined_token,__order_index,2
sword_n_r1_a_47c,undefined_token,__order_index,2
orb_n_u1_s_50a,undefined_token,__order_index,2
drakanblue_claw_l_01,undefined_token,__order_index,2
dagger_n_c2_a_49a,undefined_token,__order_index,2
npc_polearm_idarenapvp04_01a,undefined_token,__order_index,2
dagger_n_c2_a_49b,undefined_token,__order_index,2
mace_d_e_cc_61a,undefined_token,__order_index,2
dagger_l_n_m3_toplevel_78a,undefined_token,__order_index,2
dagger_d_a_m2_65e_hi,undefined_token,__order_index,2
dagger_n_c2_a_49c,undefined_token,__order_index,2
npc_mace_n_e_w05b_65a,undefined_token,__order_index,2
mace_d_n_e1_55a,undefined_token,__order_index,2
orb_n_m_lv2_typeb_77b,undefined_token,__order_index,2
mace_d_n_e1_55c,undefined_token,__order_index,2
harp_d_n_u1_p_55a,undefined_token,__order_index,2
mace_d_n_e1_55d,undefined_token,__order_index,2
polearm_d_v_e1_q_60a,undefined_token,__order_index,2
mace_d_n_e1_55e,undefined_token,__order_index,2
keyblade_d_d_r2_p_30a,undefined_token,__order_index,2
staff_d_n_c_33a,undefined_token,__order_index,2
mace_n_m2_idf5u3_65a,undefined_token,__order_index,2
mace_v_u2_q_50a,undefined_token,__order_index,2
polearm_n_m2_idf6_adma_69a,undefined_token,__order_index,2
polearm_n_l1_59a,undefined_token,__order_index,2
sword_d_n_l1_53a,undefined_token,__order_index,2
book_n_r1_a_52a,undefined_token,__order_index,2
